Valor,TipoAluguel,Iptu,Area,Quartos,Banheiros,Vagas,Cidade,Endereco
"
900
",dia,0,"
260
","
3
","
1
","
2
",florianopolis,"Avenida Jacarandá, Daniela"
"
1800
",dia,0,"
280
","
3
","
1
","
1
",florianopolis,"Rua dos Amborés, Jurerê Internacional"
"
1000
",dia,0,"
420
","
4
","
2
",0,florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
4000
",dia, 3000,"
436
","
4
","
1
","
6
",florianopolis,"Rua dos Robaletes, Jurerê Internacional"
"
500
",dia,0,"
110
","
3
","
4
","
2
",florianopolis,"Rua João de Barro, Canasvieiras"
"
3280
",mês,0,"
150
","
2
","
3
","
1
",florianopolis,"Trindade, Florianópolis"
"
2500
",dia,0,"
400
","
5
","
6
","
2
",florianopolis,"Rua das Garoupas, Jurerê Internacional"
"
4800
",dia,0,"
1100
","
5
","
1
","
2
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
380
",dia,0,"
40
","
2
","
1
",0,florianopolis,"Ponta das Canas, Florianópolis"
"
1650
",mês,0,"
60
","
2
","
2
","
2
",florianopolis,"Ingleses do Rio Vermelho, Florianópolis"
"
500
",dia,0,"
90
","
3
","
2
","
1
",florianopolis,"Servidão Manoel Salomé Jacques, Cachoeira do Bom Jesus"
"
3500
",dia,0,"
430
","
4
","
1
","
6
",florianopolis,"Rua das Garoupas, Jurerê Internacional"
"
1800
",dia,0,"
347
","
4
","
5
","
2
",florianopolis,"Rua das Tabaronas, Jurerê Internacional"
"
3500
",mês, 70,"
120
","
2
","
2
",0,florianopolis,"Campeche, Florianópolis"
"
2500
",dia,0,"
454
","
5
","
1
","
4
",florianopolis,"Rua dos Aruanãs, Jurerê Internacional"
"
7500
",mês, 110,"
309
","
4
","
4
","
2
",florianopolis,"Rua Professor Clóvis Menel Calliari, Joao Paulo"
"
700
",dia,0,"
177
","
3
","
3
","
2
",florianopolis,"Rua Dário Manoel Cardoso, Ingleses do Rio Vermelho"
"
2700
",mês, 130,"
150
","
3
","
2
","
1
",florianopolis,"Cachoeira do Bom Jesus, Florianópolis"
"
3500
",dia,0,"
520
","
8
","
1
","
2
",florianopolis,"Rua dos Lambari-Guaçu, Jurerê Internacional"
"
1280
",dia,0,"
320
","
4
","
2
","
2
",florianopolis,"Cachoeira do Bom Jesus, Florianópolis"
